No,Date,Time,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),PF
1,1/11/2026,9:12:00,194.4,0.8,77,8.69,50,0.5
2,1/11/2026,9:10:00,192,0.84,81.1,8.69,50,0.5
3,1/11/2026,9:08:00,193.8,0.82,79.2,8.69,50,0.5
4,1/11/2026,9:06:00,190.3,0.74,70.2,8.68,50,0.5
5,1/11/2026,9:04:00,193.7,0.79,76.4,8.68,50,0.5
6,1/11/2026,9:02:00,190.5,0.84,80.2,8.68,50,0.5
7,1/11/2026,9:00:00,193.6,0.83,81.1,8.68,50,0.5
8,1/11/2026,8:58:00,193.5,0.78,75.2,8.67,50,0.5
9,1/11/2026,8:56:00,196,0.88,86.4,8.67,50,0.5
10,1/11/2026,8:54:00,196,0.82,80,8.67,49.9,0.5
11,1/11/2026,8:52:00,196.6,0.86,84.2,8.66,50,0.5
12,1/11/2026,8:50:00,193.9,0.83,80.7,8.66,50,0.5
13,1/11/2026,8:48:00,192.1,0.84,80.1,8.66,50,0.5
14,1/11/2026,8:46:00,196.2,0.81,78.9,8.66,50,0.5
15,1/11/2026,8:44:00,195.8,0.83,81.5,8.65,50,0.5
16,1/11/2026,8:42:00,198.2,0.82,80,8.65,50,0.49
17,1/11/2026,8:40:00,201.9,0.8,79.7,8.65,50,0.49
18,1/11/2026,8:38:00,200.8,0.82,81.5,8.65,50,0.49
19,1/11/2026,8:36:00,201.3,0.81,80,8.64,49.9,0.49
20,1/11/2026,8:34:00,198.1,0.82,81.4,8.64,50,0.5
21,1/11/2026,8:32:00,196.2,0.65,61.9,8.64,50,0.49
22,1/11/2026,8:30:00,198.9,0.61,57.8,8.64,49.9,0.48
23,1/11/2026,8:28:00,201.7,0.61,58.4,8.63,50,0.48
24,1/11/2026,8:26:00,200.7,0.61,58.3,8.63,50,0.48
25,1/11/2026,8:24:00,201.7,0.6,58,8.63,50,0.48
26,1/11/2026,8:22:00,202.8,0.61,58.6,8.63,50,0.48
27,1/11/2026,8:20:00,199.1,0.64,61,8.63,50,0.48
28,1/11/2026,8:18:00,198.1,0.79,76.8,8.62,50,0.49
29,1/11/2026,8:16:00,197.9,0.91,87.8,8.62,50,0.49
30,1/11/2026,8:14:00,196.1,0.79,76,8.62,50,0.49
31,1/11/2026,8:12:00,195.2,0.82,78.4,8.62,50,0.49
32,1/11/2026,8:10:00,197.1,0.85,81.4,8.61,50,0.49
33,1/11/2026,8:08:00,198.2,0.85,81.6,8.61,49.9,0.49
34,1/11/2026,8:06:00,198.4,0.57,49.2,8.61,50,0.44
35,1/11/2026,8:04:00,203.3,0.56,49,8.61,50,0.43
36,1/11/2026,8:02:00,201.7,0.52,45.2,8.6,50,0.43
37,1/11/2026,8:00:00,201.3,0.55,47.9,8.6,49.9,0.43
38,1/11/2026,7:58:00,199.1,0.54,47.2,8.6,50,0.44
39,1/11/2026,7:56:00,200.2,0.33,26.1,8.6,50,0.39
40,1/11/2026,7:54:00,199.5,0.33,26,8.6,49.9,0.4
41,1/11/2026,7:52:00,197.1,0.35,28.4,8.6,49.9,0.41
42,1/11/2026,7:50:00,198.1,0.33,26,8.6,50,0.4
43,1/11/2026,7:48:00,196.7,0.34,27.4,8.6,50,0.41
44,1/11/2026,7:46:00,196.5,0.33,26.5,8.6,50,0.4
45,1/11/2026,7:44:00,197.4,0.33,26.2,8.6,50,0.4
46,1/11/2026,7:42:00,199.9,0.34,27.9,8.6,50,0.41
47,1/11/2026,7:40:00,200.7,0.31,25.1,8.59,50,0.4
48,1/11/2026,7:38:00,201.6,0.32,26,8.59,50,0.4
49,1/11/2026,7:36:00,201.7,0.53,47.2,8.59,50,0.44
50,1/11/2026,7:34:00,203,0.36,29.8,8.59,50,0.41
51,1/11/2026,7:32:00,202.2,0.51,45.6,8.59,50,0.44
52,1/11/2026,7:30:00,203.1,0.54,47.7,8.59,49.9,0.44
53,1/11/2026,7:28:00,204.6,0.51,45.3,8.59,50,0.43
54,1/11/2026,7:26:00,201.5,0.54,46.8,8.58,50,0.43
55,1/11/2026,7:24:00,202.2,0.54,47.8,8.58,50,0.44
56,1/11/2026,7:22:00,203.2,0.55,48.4,8.58,50,0.43
57,1/11/2026,7:20:00,201.8,0.51,44.7,8.58,49.9,0.43
58,1/11/2026,7:18:00,200.8,0.5,43.6,8.58,50,0.44
59,1/11/2026,7:16:00,198.8,0.55,47.8,8.58,50,0.44
60,1/11/2026,7:14:00,200.4,0.55,48.7,8.57,50,0.44
61,1/11/2026,7:12:00,199.7,0.54,46.6,8.57,50,0.44
62,1/11/2026,7:10:00,204.1,0.56,49.7,8.57,50,0.43
63,1/11/2026,7:08:00,202.9,0.58,50.8,8.57,50,0.43
64,1/11/2026,7:06:00,204.2,0.53,46.8,8.57,49.9,0.43
65,1/11/2026,7:04:00,204.5,0.54,47.7,8.57,50,0.43
66,1/11/2026,7:02:00,205.9,0.61,58.4,8.56,50,0.46
67,1/11/2026,7:00:00,205.3,0.55,48.8,8.56,50,0.43
68,1/11/2026,6:58:00,204.8,0.59,52.6,8.56,50,0.43
69,1/11/2026,6:56:00,202.8,0.58,51.1,8.56,50,0.43
70,1/11/2026,6:54:00,202.3,0.51,44.8,8.56,50,0.43
71,1/11/2026,6:52:00,204.5,0.57,50.5,8.56,50,0.43
72,1/11/2026,6:50:00,203.8,0.57,50.4,8.55,50,0.43
73,1/11/2026,6:48:00,198.5,0.55,47.9,8.55,50,0.44
74,1/11/2026,6:46:00,200.9,0.55,48.4,8.55,50,0.44
75,1/11/2026,6:44:00,203,0.55,48.3,8.55,50,0.43
76,1/11/2026,6:42:00,197.9,0.59,51.1,8.55,50,0.44
77,1/11/2026,6:40:00,200.3,0.56,48.3,8.55,50,0.43
78,1/11/2026,6:38:00,198.4,0.57,49,8.54,50,0.44
79,1/11/2026,6:36:00,198.7,0.6,51.5,8.54,50,0.44
80,1/11/2026,6:34:00,200,0.57,50.1,8.54,50,0.44
81,1/11/2026,6:32:00,200.1,0.59,51.7,8.54,49.9,0.44
82,1/11/2026,6:30:00,198.6,0.52,45.6,8.54,50,0.44
83,1/11/2026,6:28:00,199.1,0.68,58.9,8.54,50,0.44
84,1/11/2026,6:26:00,198.3,0.64,55,8.53,50,0.44
85,1/11/2026,6:24:00,197,0.67,58.4,8.53,50,0.44
86,1/11/2026,6:22:00,195.2,0.65,56.3,8.53,50,0.44
87,1/11/2026,6:20:00,192.8,0.63,54,8.53,50,0.44
88,1/11/2026,6:18:00,196.3,0.64,55.3,8.53,49.9,0.44
89,1/11/2026,6:16:00,197.9,0.65,56.1,8.52,50,0.44
90,1/11/2026,6:14:00,198.8,0.62,53.4,8.52,50,0.43
91,1/11/2026,6:12:00,199.7,0.65,57,8.52,50,0.44
92,1/11/2026,6:10:00,197.7,0.65,56.3,8.52,50,0.44
93,1/11/2026,6:08:00,197.9,0.67,58.5,8.52,50,0.44
94,1/11/2026,6:06:00,200.4,0.66,57.7,8.52,50,0.44
95,1/11/2026,6:04:00,199.9,0.57,49.7,8.51,50,0.43
96,1/11/2026,6:02:00,196.6,0.65,56.4,8.51,50,0.44
97,1/11/2026,6:00:00,194.8,0.61,52.4,8.51,50,0.44
98,1/11/2026,5:58:00,196,0.65,55.7,8.51,49.9,0.44
99,1/11/2026,5:56:00,199.4,0.56,47.9,8.51,50,0.43
100,1/11/2026,5:54:00,200.5,0.51,44.4,8.51,50,0.43
101,1/11/2026,5:52:00,199.7,0.51,44,8.5,50,0.43
102,1/11/2026,5:50:00,202.4,0.47,41,8.5,50,0.43
103,1/11/2026,5:48:00,203.1,0.55,48.6,8.5,50,0.43
104,1/11/2026,5:46:00,201.8,0.52,45.1,8.5,50,0.43
105,1/11/2026,5:44:00,196.6,0.56,47.9,8.5,50,0.44
106,1/11/2026,5:42:00,201.1,0.48,40.8,8.5,49.9,0.43
107,1/11/2026,5:40:00,199.1,0.48,40.9,8.49,50,0.43
108,1/11/2026,5:38:00,200.5,0.57,49.5,8.49,50,0.43
109,1/11/2026,5:36:00,200.7,0.52,45.2,8.49,50,0.43
110,1/11/2026,5:34:00,201.2,0.52,44.7,8.49,50,0.43
111,1/11/2026,5:32:00,203.1,0.49,42.8,8.49,50,0.43
112,1/11/2026,5:30:00,199,0.47,40,8.49,49.9,0.43
113,1/11/2026,5:28:00,201.2,0.46,39.6,8.49,50,0.43
114,1/11/2026,5:26:00,199.6,0.47,40.8,8.48,50,0.43
115,1/11/2026,5:24:00,201.9,0.46,40.1,8.48,50,0.43
116,1/11/2026,5:22:00,202.1,0.55,48,8.48,50,0.44
117,1/11/2026,5:20:00,200.1,0.56,49,8.48,50,0.44
118,1/11/2026,5:18:00,200.3,0.58,50.5,8.48,50,0.44
119,1/11/2026,5:16:00,199.9,0.58,50.5,8.48,49.9,0.43
120,1/11/2026,5:14:00,202.8,0.55,48.3,8.48,50,0.43
121,1/11/2026,5:12:00,203.3,0.58,50.3,8.47,50,0.43
122,1/11/2026,5:10:00,202.8,0.56,48.6,8.47,50,0.43
123,1/11/2026,5:08:00,197.8,0.56,48.6,8.47,50,0.43
124,1/11/2026,5:06:00,199.2,0.58,49.7,8.47,50,0.43
125,1/11/2026,5:04:00,195.7,0.47,39.7,8.47,50,0.43
126,1/11/2026,5:02:00,199.4,0.52,45.5,8.47,50,0.44
127,1/11/2026,5:00:00,201.9,0.25,16.5,8.47,50,0.33
128,1/11/2026,4:58:00,198.9,0.25,16.7,8.46,50,0.33
129,1/11/2026,4:56:00,201.6,0.25,16.3,8.46,50,0.33
130,1/11/2026,4:54:00,199.6,0.25,16.5,8.46,50,0.33
131,1/11/2026,4:52:00,201.2,0.25,16.5,8.46,50,0.33
132,1/11/2026,4:50:00,201.7,0.26,17.6,8.46,49.9,0.34
133,1/11/2026,4:48:00,201.6,0.25,16.4,8.46,50,0.33
134,1/11/2026,4:46:00,201.9,0.26,17.5,8.46,49.9,0.34
135,1/11/2026,4:44:00,201.5,0.25,16.6,8.46,50,0.33
136,1/11/2026,4:42:00,203.5,0.25,16.5,8.46,50,0.33
137,1/11/2026,4:40:00,202.8,0.26,17.5,8.46,50,0.34
138,1/11/2026,4:38:00,202.4,0.26,17.3,8.46,50,0.33
139,1/11/2026,4:36:00,202,0.26,17.7,8.46,50,0.34
140,1/11/2026,4:34:00,203.7,0.26,17.4,8.46,50,0.33
